Case ID,Prefix length,Trace Prefix Act,Ground truth,Predicted Acts,Damerau-Levenshtein Acts,Jaccard Acts,Trace Prefix Res,Ground Truth Resources,Predicted Resources,Damerau-Levenshtein Resources,Jaccard Resources,Damerau-Levenshtein Combined,Weight
Case 4123,3,¡¢£,¦,¦,1.0,1.0,°§¨,¦,¦,1.0,1.0,1.0,0.0
Case 4124,3,¡¢¤,£¦,£¦,1.0,1.0,²°°,°¦,°¦,1.0,1.0,1.0,0.0
Case 4125,3,¡¢£,¦,¦,1.0,1.0,²²²,¦,¦,1.0,1.0,1.0,0.0
Case 4126,3,¡¢¤,£¦,¢£¦,0.6666666666666667,0.6666666666666666,¡¡¡,¡¦,¡¡¦,0.6666666666666667,1.0,0.6666666666666667,0.0
Case 4127,3,¡¢£,¦,¦,1.0,1.0,³¡¡,´,¦,0.0,0.0,0.5,0.0
Case 4128,3,§¡¢,¤¢¤¢£¦,£¦,0.33333333333333337,0.5,©©©,©¡¡¡¡¦,©¦,0.33333333333333337,0.6666666666666666,0.25,0.0
Case 4129,3,¡¢£,¦,¦,1.0,1.0,°°°,¦,¦,1.0,1.0,1.0,0.0
Case 4130,3,§¡¢,£¦,£¦,1.0,1.0,­¡¡,¡¦,¡¦,1.0,1.0,1.0,0.0
Case 4131,3,¡¢£,¦,¦,1.0,1.0,²²²,¦,¦,1.0,1.0,1.0,0.0
Case 4132,3,¡¢£,£¦,¦,0.5,0.5,²²²,²¦,¦,0.5,0.5,0.5,0.0
Case 4133,3,¡¢£,¦,¦,1.0,1.0,²¬¬,¦,¦,1.0,1.0,1.0,0.0
Case 4134,3,¡¡¢,£¦,£¦,1.0,1.0,¯¯¬,¬¦,¬¦,1.0,1.0,1.0,0.0
Case 4135,3,¡¢£,¦,¦,1.0,1.0,²²°,¦,¦,1.0,1.0,1.0,0.0
Case 4136,3,¡¢£,¦,¦,1.0,1.0,©©©,¦,¦,1.0,1.0,1.0,0.0
Case 4137,3,¡¡¢,£¦,£¦,1.0,1.0,°­­,­¦,­¦,1.0,1.0,1.0,0.0
Case 4138,3,¡¢£,¦,¦,1.0,1.0,¬¬¬,¦,¦,1.0,1.0,1.0,0.0
Case 4140,3,¡¢£,¦,¦,1.0,1.0,¯¯¯,¦,¦,1.0,1.0,1.0,0.0
