Case Id,Prefix length,Trace Prefix Act,Ground truth,Predicted Acts,Damerau-Levenshtein Acts,Jaccard Acts,Trace Prefix Res,Ground truth Resources,Predicted Resources,Damerau-Levenshtein Resources,Jaccard Resources,Damerau-Levenshtein Combined,Weight
1-712856449,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.0,0.0,£££,£,££££££££££££££££££££££££££££££££,0.03125,1.0,0.015625,0.0
1-715638561,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.0,0.0,£££,£,££££££££££££££££££££££££££££££££,0.03125,1.0,0.015625,0.0
1-715660478,3,¢¦¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.0,0.0,£££,£,££££££££££££££££££££££££££££££££,0.03125,1.0,0.015625,0.0
1-715860062,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.0,0.0,¡¡¡,¡,££££££££££££££££££££££££££££££££,0.0,0.0,0.0,0.0
1-716571976,3,¢¦¢,¡¢¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.03125,0.33333333333333326,£££,£££,££££££££££££££££££££££££££££££££,0.09375,1.0,0.0625,0.0
1-717122893,3,¢¡¢,¥¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.0,0.0,¡¡¡,¡¡,££££££££££££££££££££££££££££££££,0.0,0.0,0.0,0.0
1-717222893,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.0,0.0,£££,£,££££££££££££££££££££££££££££££££,0.03125,1.0,0.015625,0.0
1-717275094,3,¢¡¢,¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.0,0.0,£££,£,££££££££££££££££££££££££££££££££,0.03125,1.0,0.015625,0.0
1-718973785,3,¢¡¢,¥¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.0,0.0,£££,££,££££££££££££££££££££££££££££££££,0.0625,1.0,0.03125,0.0
1-719199254,3,¢¢¦,¢¦¢¦¢¦,¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢¢,0.09375,0.5,§§§,§§§§§§,££££££££££££££££££££££££££££££££,0.0,0.0,0.046875,0.0
